Address,SBL #,Sale Price,Sale Date,Total Assessed Value,Property Type Building Style,Lot Size,Year Built,SQFT,Bedrooms-Baths-Fireplaces
"336 ROTHER, Buffalo",101.69-5-7,"$19,000 ",3/1/1990,"$1,500 ",Vacant Land - Res vac land,30 x 99,,,
"228 TITUS, Buffalo",101.71-7-7,"$22,000 ",3/1/1990,"$11,300 ",Residential - 1 Family Res,21.73 x 97,1910,855,2/1/2000
"823 GENESEE, Buffalo",100.83-6-4,"$14,000 ",3/1/1990,"$12,000 ",Commercial - Det row bldg,38 x 157,,,
"34 HARRIETT, Buffalo",90.75-1-21,"$54,000 ",3/1/1990,"$52,500 ",Residential - 2 Family Res,30 x 133,1920,"1,806",4/2/2000
"708 LAFAYETTE AVE, Buffalo",89.78-2-10,"$253,000 ",3/1/1990,"$290,000 ",Residential - 1 Family Res,42 x 135,1915,"2,736",4/3/2001
"183 KAY, Buffalo",90.27-4-12,"$71,500 ",3/1/1990,"$57,000 ",Residential - 2 Family Res,34 x 0,1929,"2,178",5/2/2000
"75 ORANGE, Buffalo",111.25-2-14.1,"$25,000 ",3/1/1990,"$63,000 ",Residential - 1 Family Res,52.5 x 100,1991,"1,400",3 / 1.5 / 0
"277 MOSELLE, Buffalo",101.47-1-27,"$10,000 ",4/1/1990,"$2,200 ",Vacant Land - Res vac land,30 x 105,,,
"116 FREDRO, Buffalo",123.41-2-7,"$25,000 ",4/1/1990,"$67,100 ",Residential - 3 Family Res,30 x 100,1900,"2,589",6/3/2000
"42 HILLERY, Buffalo",123.74-5-15,"$5,800 ",4/1/1990,"$8,100 ",Vacant Land - Vac w/imprv,35 x 125,,,
"35 ALDEN, Buffalo",78.44-1-10,"$78,000 ",4/1/1990,"$83,500 ",Residential - 1 Family Res,58.49 x 105,1956,"1,124",3/1/2000
"46 ASHLAND, Buffalo",100.61-3-4,"$152,500 ",4/1/1990,"$175,000 ",Residential - 1 Family Res,42.33 x 170,1900,"3,193",5/3/2000
"59 ST LOUIS AVE, Buffalo",101.63-1-11,"$21,000 ",4/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 108,,,
"81 HARMONIA, Buffalo",101.70-2-54,"$21,000 ",4/1/1990,"$15,000 ",Residential - 1 Family Res,31.2 x 80,1900,"1,329",1/1/2000
"340 NORTHLAND, Buffalo",89.83-3-55,"$28,000 ",4/1/1990,"$35,000 ",Residential - 2 Family Res,30 x 130,1890,"2,478",6/2/2000
"210 JEWETT AVE, Buffalo",90.37-6-28,"$24,000 ",4/1/1990,"$2,500 ",Vacant Land - Res vac land,28.75 x 120,,,
"126 ROOSEVELT, Buffalo",90.42-6-28,"$52,522 ",4/1/1990,"$5,500 ",Vacant Land - Res vac land,60 x 79,,,
"359 HAMPSHIRE, Buffalo",99.43-3-14,"$51,000 ",4/1/1990,"$33,700 ",Residential - 2 Family Res,30 x 135,1907,"2,558",6/2/2000
"254 FENTON, Buffalo",123.42-3-21,"$49,000 ",4/1/1990,"$57,000 ",Residential - 1 Family Res,30 x 101,1900,"1,491",3/1/2000
"6 OBERLIN, Buffalo",101.79-1-16,"$29,000 ",4/1/1990,"$1,700 ",Vacant Land - Res vac land,30 x 150,,,
"23 WEX, Buffalo",101.73-6-12,"$50,000 ",4/1/1990,"$31,400 ",Residential - 1 Family Res,48 x 107.3,1960,"1,303",3/1/2000
"143 GLENWOOD, Buffalo",100.48-2-15,"$3,000 ",4/1/1990,"$1,100 ",Vacant Land - Res vac land,27.5 x 77,,,
"115 MARIGOLD, Buffalo",90.38-3-33,"$15,900 ",4/1/1990,"$23,500 ",Residential - 2 Family Res,30 x 121,1920,"2,212",6/2/2000
"317 WOODSIDE, Buffalo",133.57-3-2,"$56,000 ",4/1/1990,"$83,200 ",Residential - 1 Family Res,35 x 150,1928,"1,545",4/1/2000
"405 PARKER, Buffalo",78.60-5-22,"$90,000 ",4/1/1990,"$140,000 ",Residential - 1 Family Res,40 x 125,1920,"1,888",3 / 1.5 / 0
"770 ASHLAND, Buffalo",89.61-3-22,"$75,000 ",4/1/1990,"$155,000 ",Residential - 1 Family Res,35 x 70,1900,"2,314",4/1/2000
"89 MAYER, Buffalo",77.65-3-7,"$48,000 ",4/1/1990,"$36,000 ",Residential - 1 Family Res,25.5 x 100,1900,824,3/1/2000
"134 RAMONA, Buffalo",133.57-3-31,"$73,500 ",4/1/1990,"$83,000 ",Residential - 1 Family Res,40 x 106,1940,"1,500",3/1/2000
"293 FARGO, Buffalo",99.67-2-25,"$50,000 ",4/1/1990,"$39,200 ",Residential - 2 Family Res,30 x 148,1900,"1,894",3/2/2000
"332 SYCAMORE, Buffalo",111.41-1-3.12,"$87,258 ",4/1/1990,"$70,000 ",Residential - 1 Family Res,75.16 x 83.01,1990,"1,752",3 / 1.5 / 0
"527 NORWOOD, Buffalo",100.21-2-31,"$153,000 ",4/1/1990,"$201,000 ",Residential - 2 Family Res,40 x 193,1880,"3,334",6/2/2000
"152 SCHILLER, Buffalo",112.51-4-9,"$45,000 ",4/1/1990,"$54,000 ",Residential - 3 Family Res,30 x 129,1920,"2,478",6/3/2000
"15 CLAREMONT, Buffalo",89.77-2-15,"$105,000 ",4/1/1990,"$168,000 ",Residential - 1 Family Res,31 x 93,1910,"2,269",5 / 1.5 / 0
"46 NORTHRUP WEST, Buffalo",79.54-4-29,"$75,000 ",4/1/1990,"$73,300 ",Residential - 2 Family Res,34.5 x 111,1925,"2,448",6/2/2000
"26 SANDROCK, Buffalo",77.64-5-28,"$59,000 ",4/1/1990,"$50,000 ",Residential - 2 Family Res,32 x 110,1935,"1,944",4/2/2000
"523 MASTEN, Buffalo",100.33-1-59,"$8,500 ",4/1/1990,"$1,100 ",Vacant Land - Res vac land,25 x 100,,,
"1295 DELAVAN EAST, Buffalo",90.81-5-4,"$40,000 ",4/1/1990,"$38,000 ",Residential - 1 Family Res,32 x 108,1928,"1,782",3/1/2000
"105 LOCKWOOD, Buffalo",133.46-5-33,"$55,000 ",4/1/1990,"$51,900 ",Residential - 1 Family Res,30 x 109,1910,"1,176",3/1/2000
"55 LAFAYETTE AVE, Buffalo",99.26-3-1,"$54,500 ",4/1/1990,"$41,000 ",Residential - 2 Family Res,31.5 x 65.93,1900,"2,730",5/2/2000
"63 WRIGHT, Buffalo",90.75-5-45,"$67,000 ",4/1/1990,"$53,700 ",Residential - 2 Family Res,35 x 115,1925,"1,842",4/2/2000
"49 HUMBER, Buffalo",90.71-1-37,"$29,000 ",4/1/1990,"$32,400 ",Residential - 1 Family Res,40 x 125,1920,"1,097",3/1/2000
"366 WILLIAM, Buffalo",111.57-2-15,"$24,000 ",4/1/1990,"$5,300 ",Vacant Land - Vacant comm,45 x 110,,,
"510 HINMAN, Buffalo",77.43-5-11,"$350,000 ",4/1/1990,"$270,000 ",Commercial - Auto body,360 x 97.27,,,
"48 FREUND, Buffalo",101.27-8-7,"$64,000 ",5/1/1990,"$48,500 ",Residential - 2 Family Res,30 x 204,1900,"2,278",5/2/2000
"714 PARKSIDE, Buffalo",78.66-4-7,"$90,000 ",5/1/1990,"$134,000 ",Residential - 1 Family Res,40 x 143,1920,"1,805",3 / 1.5 / 1
"791 BEST, Buffalo",100.76-4-5,"$18,900 ",5/1/1990,"$20,000 ",Residential - 1 Family Res,32 x 110,1901,"1,667",3/1/2000
"149 KINGSLEY, Buffalo",100.58-2-7,"$33,000 ",5/1/1990,"$1,300 ",Vacant Land - Res vac land,23.25 x 87,,,
"28 MINNETONKA, Buffalo",133.58-6-19,"$89,000 ",5/1/1990,"$133,400 ",Residential - 1 Family Res,40 x 150,1918,"3,365",5/2/2001
"232 LOEPERE, Buffalo",101.69-2-39,"$24,500 ",5/1/1990,"$1,600 ",Vacant Land - Res vac land,30 x 107,,,
"522 UTICA EAST, Buffalo",100.43-4-23,"$32,000 ",5/1/1990,"$23,000 ",Residential - 1 Family Res,33 x 120,1880,"2,076",3/1/2001
"51 MILITARY, Buffalo",88.35-3-36,"$90,000 ",5/1/1990,"$34,500 ",Residential - 2 Family Res,63 x 154.42,1910,"1,743",5/2/2000
"655 FERRY EAST, Buffalo",100.44-1-27,"$25,500 ",5/1/1990,"$28,000 ",Residential - 1 Family Res,30 x 106,1920,"1,392",4/1/2000
"47 HOWLETT, Buffalo",101.70-5-36,"$27,000 ",5/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 109.96,,,
"771 PROSPECT, Buffalo",99.58-2-35,"$65,000 ",5/1/1990,"$47,000 ",Residential - 2 Family Res,50 x 200,1897,"2,600",4/2/2000
"101 HALLAM, Buffalo",89.06-9-29,"$275,000 ",5/1/1990,"$310,000 ",Residential - 1 Family Res,75.82 x 203,1951,"3,496",4 / 2.5 / 1
"1119 DELAWARE, Buffalo",100.39-1-37,"$190,000 ",5/1/1990,"$200,000 ",Residential - 1 Family Res,22.66 x 55,1989,"1,840",2 / 2.5 / 1
"90 HIGHLAND, Buffalo",100.38-2-65,"$158,000 ",5/1/1990,"$183,000 ",Residential - 2 Family Res,38 x 116,1900,"3,282",6/3/2000
"20 ONEIDA, Buffalo",111.66-7-16,"$10,000 ",5/1/1990,"$1,600 ",Vacant Land - Res vac land,30 x 97,,,
"762 SYCAMORE, Buffalo",111.27-5-16,"$13,500 ",5/1/1990,"$1,700 ",Vacant Land - Res vac land,30.76 x 120,,,
"358 GIBSON, Buffalo",111.36-4-4,"$37,500 ",5/1/1990,"$20,000 ",Residential - 2 Family Res,30 x 110,1900,"2,200",6/2/2000
"270 BUSTI, Buffalo",110.43-2-19,"$15,000 ",5/1/1990,"$2,200 ",Vacant Land - Res vac land,24 x 100,,,
"30 BOYD, Buffalo",99.27-7-30,"$40,000 ",5/1/1990,"$43,000 ",Residential - 1 Family Res,30 x 100,1880,"1,874",3/1/2000
"631 UTICA EAST, Buffalo",100.52-5-4,"$32,000 ",5/1/1990,"$1,200 ",Vacant Land - Res vac land,32 x 142,,,
"34 BOYD, Buffalo",99.27-7-29,"$25,000 ",5/1/1990,"$31,000 ",Residential - 1 Family Res,30 x 100,1880,"1,362",3/1/2000
"1367 FILLMORE, Buffalo",100.52-2-11,"$85,000 ",5/1/1990,"$65,000 ",Commercial - Det row bldg,118 x 59.5,,,
"16 ROANOKE, Buffalo",123.72-4-4,"$40,000 ",5/1/1990,"$60,100 ",Residential - 1 Family Res,45 x 100,1916,"1,612",4/1/2001
"869 BROADWAY, Buffalo",111.43-6-5.1,"$400,000 ",5/1/1990,"$13,100 ",Vacant Land - Vacant comm,84.6 x 204.98,,,
"257 PARKER, Buffalo",78.76-3-21,"$125,000 ",5/1/1990,"$143,000 ",Residential - 1 Family Res,40 x 100,1920,"2,036",4 / 1.5 / 1
"33 LAUX, Buffalo",112.77-3-18,"$35,000 ",5/1/1990,"$26,900 ",Residential - 1 Family Res,30 x 105,1914,"1,044",3/1/2000
"74 KIMMEL, Buffalo",123.70-3-3,"$25,000 ",5/1/1990,"$2,200 ",Vacant Land - Res vac land,15 x 104,,,
"35 JANET, Buffalo",90.35-3-25,"$78,000 ",5/1/1990,"$66,000 ",Residential - 2 Family Res,45 x 130,1940,"2,305",4/2/2000
"87 HAYDEN, Buffalo",123.74-2-6,"$56,900 ",5/1/1990,"$44,600 ",Residential - 2 Family Res,30 x 110,1920,"2,200",5/2/2000
"651 MCKINLEY PKWY, Buffalo",133.32-3-53,"$75,500 ",5/1/1990,"$90,100 ",Residential - 1 Family Res,37.77 x 95,1918,"1,721",3 / 1.5 / 0
"1799 SENECA, Buffalo",123.64-5-12,"$6,200 ",5/1/1990,"$65,000 ",Residential - 2 Family Res,50 x 150,1991,"1,920",4/2/2000
"460 CORNWALL, Buffalo",90.63-2-9,"$50,000 ",5/1/1990,"$35,000 ",Residential - 1 Family Res,40 x 125,1965,"1,202",3/1/2000
"12 VIOLA, Buffalo",89.83-1-18,"$12,000 ",5/1/1990,"$4,500 ",Vacant Land - Vac w/imprv,30.26 x 132,,,
"66 HENRIETTA, Buffalo",77.41-3-18,"$52,000 ",5/1/1990,"$52,000 ",Residential - 1 Family Res,30 x 132,1920,"1,496",4/1/2001
"100 PORTLAND, Buffalo",133.24-5-18,"$75,000 ",5/1/1990,"$78,400 ",Residential - 1 Family Res,40 x 128,1940,"1,460",3 / 1.5 / 0
"828 KENSINGTON, Buffalo",90.39-2-12.1,"$300,000 ",5/1/1990,"$12,100 ",Vacant Land - Com vac w/imp,141.43 x 115,,,
"285 OGDEN SOUTH, Buffalo",123.43-7-23,"$59,900 ",5/1/1990,"$74,200 ",Residential - 1 Family Res,36 x 104,1926,"1,563",4/1/2000
"28 MONTGOMERY, Buffalo",111.75-3-18,"$2,000 ",5/1/1990,"$1,600 ",Vacant Land - Res vac land,30 x 88,,,
"282 BERKSHIRE, Buffalo",90.24-2-36,"$40,000 ",5/1/1990,"$43,200 ",Residential - 1 Family Res,35 x 102,1924,"1,394",4/1/2000
"168 REBECCA PARK, Buffalo",77.52-3-5,"$69,000 ",5/1/1990,"$80,000 ",Residential - 1 Family Res,29 x 44,1988,"1,120",2 / 1.5 / 0
"20 BARTHEL, Buffalo",101.62-4-37,"$16,000 ",5/1/1990,"$18,000 ",Residential - 1 Family Res,30 x 105,1920,"1,203",3/1/2000
"317 VIRGINIA ST, Buffalo",111.21-6-13.11,"$98,125 ",5/1/1990,"$65,000 ",Residential - 2 Family Res,59.75 x 92,1990,"1,866",4/2/2000
"121 LAIRD, Buffalo",77.41-4-28,"$57,000 ",5/1/1990,"$47,800 ",Residential - 1 Family Res,32 x 100,1925,"1,242",3/1/2000
"49 HARMONIA, Buffalo",101.70-2-45,"$20,000 ",6/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 80,,,
"317 IDEAL, Buffalo",112.34-3-44,"$34,500 ",6/1/1990,"$43,000 ",Residential - 2 Family Res,30 x 134,1900,"1,375",3/2/2000
"32 HOUGHTON, Buffalo",112.29-5-20,"$24,900 ",6/1/1990,"$1,500 ",Vacant Land - Res vac land,30 x 100,,,
"186 MINNESOTA, Buffalo",79.71-2-23,"$90,000 ",6/1/1990,"$68,000 ",Residential - 2 Family Res,40 x 150,1920,"3,190",6/2/2000
"60 ASHLEY, Buffalo",112.30-6-22,"$15,000 ",6/1/1990,"$3,600 ",Vacant Land - Res vac land,30 x 110,,,
"23 ZENNER, Buffalo",101.40-4-28.1,"$22,500 ",6/1/1990,"$18,000 ",Residential - 1 Family Res,96 x 97,1910,"1,548",3/1/2001
"69 CONNELLY, Buffalo",90.56-3-18,"$45,000 ",6/1/1990,"$50,000 ",Residential - 1 Family Res,40 x 128,1925,"1,971",4/1/2000
"48 GEARY, Buffalo",123.81-10-23,"$62,700 ",6/1/1990,"$50,700 ",Residential - 2 Family Res,31 x 110,1900,"2,135",6/2/2000
"223 CAMBRIDGE, Buffalo",90.79-3-29,"$39,000 ",6/1/1990,"$27,000 ",Residential - 2 Family Res,30 x 118,1920,"2,454",6/2/2000
"18 KRAKOW, Buffalo",123.33-4-10,"$72,000 ",6/1/1990,"$64,400 ",Residential - 2 Family Res,32 x 116,1925,"2,204",6/2/2000
"56 DOAT, Buffalo",101.48-2-8,"$19,900 ",6/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 115,,,
"24 OBERLIN, Buffalo",101.79-1-9,"$27,000 ",6/1/1990,"$17,200 ",Residential - 1 Family Res,30 x 150,1929,"1,372",3/1/2000
"342 LAFAYETTE AVE, Buffalo",88.84-6-23,"$79,350 ",6/1/1990,"$83,000 ",Residential - 3 Family Res,39.1 x 92,1900,"3,454",4/3/2000
"89 TILLINGHAST, Buffalo",89.26-1-4,"$227,500 ",6/1/1990,"$266,000 ",Residential - 1 Family Res,65 x 140,1914,"2,336",3 / 1.5 / 1
"392 NORFOLK, Buffalo",90.71-5-1,"$10,000 ",6/1/1990,"$27,600 ",Residential - 1 Family Res,31 x 125,1950,792,2/1/2000
"35 DORRIS, Buffalo",90.64-5-12,"$35,000 ",6/1/1990,"$39,000 ",Residential - 1 Family Res,30 x 120,1920,"1,424",4/1/2000
"11 MOHAWK EAST, Buffalo",111.13-6-4.112,"$355,000 ",6/1/1990,"$516,000 ",Commercial - Att row bldg,43 x 90.72,,,
"164 WOODSIDE WEST, Buffalo",133.54-2-38,"$63,000 ",6/1/1990,"$50,600 ",Residential - 2 Family Res,35 x 118,1920,"2,352",5/2/2000
"62 BEYER, Buffalo",133.51-1-25,"$103,000 ",6/1/1990,"$91,900 ",Residential - 1 Family Res,42 x 130,1937,"1,856",4/1/2001
"338 SYCAMORE, Buffalo",111.41-1-3.11,"$69,483 ",6/1/1990,"$66,000 ",Residential - 1 Family Res,44.95 x 85,1990,"1,260",3 / 1.5 / 0
"344 CAMBRIDGE, Buffalo",90.71-2-14,"$34,000 ",6/1/1990,"$36,000 ",Residential - 1 Family Res,40 x 125,1925,"1,474",2/1/2000
"41 ARMIN, Buffalo",123.65-2-7,"$43,000 ",6/1/1990,"$44,500 ",Residential - 1 Family Res,30 x 117,1910,"1,300",4/1/2000
"109 FAIRFIELD, Buffalo",89.28-5-67,"$65,000 ",6/1/1990,"$85,000 ",Residential - 1 Family Res,33.76 x 144,1910,"2,113",3/1/2000
"124 CARL, Buffalo",101.22-1-21,"$9,000 ",6/1/1990,"$17,600 ",Residential - 1 Family Res,30 x 140,1910,"1,120",3/1/2000
"108 HOMER, Buffalo",78.55-4-12,"$80,000 ",6/1/1990,"$94,600 ",Residential - 1 Family Res,35 x 150,1930,"1,692",3/1/2000
"162 BARTON, Buffalo",99.26-7-11,"$61,000 ",6/1/1990,"$35,000 ",Residential - 2 Family Res,31 x 90,1880,"2,503",6/2/2000
"120 FENTON, Buffalo",123.58-3-3,"$55,000 ",6/1/1990,"$11,900 ",Vacant Land - Res vac land,180 x 101,,,
"115 SELKIRK, Buffalo",122.36-1-31,"$32,000 ",6/1/1990,"$33,000 ",Residential - 2 Family Res,30 x 110,1900,"1,893",4/2/2000
"582 SPRING, Buffalo",111.40-5-1,"$15,500 ",6/1/1990,"$1,400 ",Vacant Land - Vac w/imprv,25 x 132,,,
"146 CANTWELL, Buffalo",133.72-3-48,"$62,800 ",6/1/1990,"$65,900 ",Residential - 1 Family Res,46 x 120,1953,"1,152",2/1/2000
"426 WILLIAM, Buffalo",111.57-5-4,"$8,000 ",6/1/1990,"$2,100 ",Vacant Land - Res vac land,46.17 x 136,,,
"77 GORSKI, Buffalo",123.41-4-29,"$60,000 ",6/1/1990,"$55,600 ",Residential - 1 Family Res,30 x 100,1925,"1,380",4/1/2000
"155 JOHNSON ST, Buffalo",111.27-1-28,"$8,000 ",6/1/1990,"$1,500 ",Vacant Land - Res vac land,35 x 87,,,
"1639 JEFFERSON, Buffalo",89.82-4-88,"$1,500 ",6/1/1990,"$1,900 ",Vacant Land - Res vac land,30 x 100,,,
"153 MASTEN, Buffalo",100.65-1-87,"$48,900 ",6/1/1990,"$2,100 ",Vacant Land - Res vac land,34 x 125,,,
"55 WHITEHALL, Buffalo",133.73-5-13,"$88,500 ",6/1/1990,"$68,500 ",Residential - 2 Family Res,34 x 115,1922,"1,618",4/2/2000
"18 OAKWOOD EAST, Buffalo",89.51-4-39,"$35,000 ",6/1/1990,"$25,800 ",Residential - 2 Family Res,23.9 x 85,1910,"2,274",4/2/2000
"381 MAY, Buffalo",101.48-4-33,"$25,000 ",6/1/1990,"$1,500 ",Vacant Land - Res vac land,30 x 112,1920,"1,577",4/1/2000
"374 BRYANT, Buffalo",100.53-1-21,"$80,000 ",6/1/1990,"$130,000 ",Residential - 3 Family Res,35 x 188,1900,"2,927",7/3/2000
"258 SCHILLER, Buffalo",112.35-5-24,"$1,100 ",6/1/1990,"$3,600 ",Vacant Land - Res vac land,30 x 129,,,
"41 ARMIN, Buffalo",123.65-2-7,"$43,000 ",6/1/1990,"$44,500 ",Residential - 1 Family Res,30 x 117,1910,"1,300",4/1/2000
"374 BRYANT, Buffalo",100.53-1-21,"$80,000 ",6/1/1990,"$130,000 ",Residential - 3 Family Res,35 x 188,1900,"2,927",7/3/2000
"153 MASTEN, Buffalo",100.65-1-87,"$48,900 ",6/1/1990,"$2,100 ",Vacant Land - Res vac land,34 x 125,,,
"56 DOAT, Buffalo",101.48-2-8,"$19,900 ",6/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 115,,,
"108 HOMER, Buffalo",78.55-4-12,"$80,000 ",6/1/1990,"$94,600 ",Residential - 1 Family Res,35 x 150,1930,"1,692",3/1/2000
"124 CARL, Buffalo",101.22-1-21,"$9,000 ",6/1/1990,"$17,600 ",Residential - 1 Family Res,30 x 140,1910,"1,120",3/1/2000
"23 ZENNER, Buffalo",101.40-4-28.1,"$22,500 ",6/1/1990,"$18,000 ",Residential - 1 Family Res,96 x 97,1910,"1,548",3/1/2001
"381 MAY, Buffalo",101.48-4-33,"$25,000 ",6/1/1990,"$1,500 ",Vacant Land - Res vac land,30 x 112,1920,"1,577",4/1/2000
"164 WOODSIDE WEST, Buffalo",133.54-2-38,"$63,000 ",6/1/1990,"$50,600 ",Residential - 2 Family Res,35 x 118,1920,"2,352",5/2/2000
"48 GEARY, Buffalo",123.81-10-23,"$62,700 ",6/1/1990,"$50,700 ",Residential - 2 Family Res,31 x 110,1900,"2,135",6/2/2000
"89 TILLINGHAST, Buffalo",89.26-1-4,"$227,500 ",6/1/1990,"$266,000 ",Residential - 1 Family Res,65 x 140,1914,"2,336",3 / 1.5 / 1
"18 OAKWOOD EAST, Buffalo",89.51-4-39,"$35,000 ",6/1/1990,"$25,800 ",Residential - 2 Family Res,23.9 x 85,1910,"2,274",4/2/2000
"1639 JEFFERSON, Buffalo",89.82-4-88,"$1,500 ",6/1/1990,"$1,900 ",Vacant Land - Res vac land,30 x 100,,,
"342 LAFAYETTE AVE, Buffalo",88.84-6-23,"$79,350 ",6/1/1990,"$83,000 ",Residential - 3 Family Res,39.1 x 92,1900,"3,454",4/3/2000
"62 BEYER, Buffalo",133.51-1-25,"$103,000 ",6/1/1990,"$91,900 ",Residential - 1 Family Res,42 x 130,1937,"1,856",4/1/2001
"146 CANTWELL, Buffalo",133.72-3-48,"$62,800 ",6/1/1990,"$65,900 ",Residential - 1 Family Res,46 x 120,1953,"1,152",2/1/2000
"55 WHITEHALL, Buffalo",133.73-5-13,"$88,500 ",6/1/1990,"$68,500 ",Residential - 2 Family Res,34 x 115,1922,"1,618",4/2/2000
"109 FAIRFIELD, Buffalo",89.28-5-67,"$65,000 ",6/1/1990,"$85,000 ",Residential - 1 Family Res,33.76 x 144,1910,"2,113",3/1/2000
"49 HARMONIA, Buffalo",101.70-2-45,"$20,000 ",6/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 80,,,
"24 OBERLIN, Buffalo",101.79-1-9,"$27,000 ",6/1/1990,"$17,200 ",Residential - 1 Family Res,30 x 150,1929,"1,372",3/1/2000
"77 GORSKI, Buffalo",123.41-4-29,"$60,000 ",6/1/1990,"$55,600 ",Residential - 1 Family Res,30 x 100,1925,"1,380",4/1/2000
"155 JOHNSON ST, Buffalo",111.27-1-28,"$8,000 ",6/1/1990,"$1,500 ",Vacant Land - Res vac land,35 x 87,,,
"11 MOHAWK EAST, Buffalo",111.13-6-4.112,"$355,000 ",6/1/1990,"$516,000 ",Commercial - Att row bldg,43 x 90.72,,,
"186 MINNESOTA, Buffalo",79.71-2-23,"$90,000 ",6/1/1990,"$68,000 ",Residential - 2 Family Res,40 x 150,1920,"3,190",6/2/2000
"115 SELKIRK, Buffalo",122.36-1-31,"$32,000 ",6/1/1990,"$33,000 ",Residential - 2 Family Res,30 x 110,1900,"1,893",4/2/2000
"317 IDEAL, Buffalo",112.34-3-44,"$34,500 ",6/1/1990,"$43,000 ",Residential - 2 Family Res,30 x 134,1900,"1,375",3/2/2000
"69 CONNELLY, Buffalo",90.56-3-18,"$45,000 ",6/1/1990,"$50,000 ",Residential - 1 Family Res,40 x 128,1925,"1,971",4/1/2000
"258 SCHILLER, Buffalo",112.35-5-24,"$1,100 ",6/1/1990,"$3,600 ",Vacant Land - Res vac land,30 x 129,,,
"32 HOUGHTON, Buffalo",112.29-5-20,"$24,900 ",6/1/1990,"$1,500 ",Vacant Land - Res vac land,30 x 100,,,
"35 DORRIS, Buffalo",90.64-5-12,"$35,000 ",6/1/1990,"$39,000 ",Residential - 1 Family Res,30 x 120,1920,"1,424",4/1/2000
"18 KRAKOW, Buffalo",123.33-4-10,"$72,000 ",6/1/1990,"$64,400 ",Residential - 2 Family Res,32 x 116,1925,"2,204",6/2/2000
"344 CAMBRIDGE, Buffalo",90.71-2-14,"$34,000 ",6/1/1990,"$36,000 ",Residential - 1 Family Res,40 x 125,1925,"1,474",2/1/2000
"120 FENTON, Buffalo",123.58-3-3,"$55,000 ",6/1/1990,"$11,900 ",Vacant Land - Res vac land,180 x 101,,,
"223 CAMBRIDGE, Buffalo",90.79-3-29,"$39,000 ",6/1/1990,"$27,000 ",Residential - 2 Family Res,30 x 118,1920,"2,454",6/2/2000
"392 NORFOLK, Buffalo",90.71-5-1,"$10,000 ",6/1/1990,"$27,600 ",Residential - 1 Family Res,31 x 125,1950,792,2/1/2000
"426 WILLIAM, Buffalo",111.57-5-4,"$8,000 ",6/1/1990,"$2,100 ",Vacant Land - Res vac land,46.17 x 136,,,
"162 BARTON, Buffalo",99.26-7-11,"$61,000 ",6/1/1990,"$35,000 ",Residential - 2 Family Res,31 x 90,1880,"2,503",6/2/2000
"582 SPRING, Buffalo",111.40-5-1,"$15,500 ",6/1/1990,"$1,400 ",Vacant Land - Vac w/imprv,25 x 132,,,
"338 SYCAMORE, Buffalo",111.41-1-3.11,"$69,483 ",6/1/1990,"$66,000 ",Residential - 1 Family Res,44.95 x 85,1990,"1,260",3 / 1.5 / 0
"60 ASHLEY, Buffalo",112.30-6-22,"$15,000 ",6/1/1990,"$3,600 ",Vacant Land - Res vac land,30 x 110,,,
"221 STEVENSON, Buffalo",123.73-7-4,"$67,000 ",7/1/1990,"$64,700 ",Residential - 2 Family Res,32 x 114,1910,"2,576",6/2/2000
"272 NORTH PARK, Buffalo",78.57-3-5,"$101,000 ",7/1/1990,"$118,000 ",Residential - 1 Family Res,35 x 175,1920,"2,112",4 / 1.5 / 0
"251 LAKEFRONT, Buffalo",110.59-1-32,"$195,000 ",7/1/1990,"$210,000 ",Residential - 1 Family Res,25 x 46.33,1986,"1,700",2 / 2.5 / 1
"160 WELLINGTON, Buffalo",78.66-2-14,"$85,000 ",7/1/1990,"$133,000 ",Residential - 1 Family Res,35 x 129,1919,"1,916",3/2/2002
"82 DUNDEE, Buffalo",133.66-4-28,"$71,000 ",7/1/1990,"$82,100 ",Residential - 1 Family Res,33 x 112,1927,"1,362",3/1/2000
"51 KIRKPATRICK, Buffalo",90.80-2-3,"$37,000 ",7/1/1990,"$22,000 ",Residential - 1 Family Res,30 x 141,1925,"1,505",3 / 1.5 / 0
"66 WEAVER, Buffalo",123.26-3-13,"$51,000 ",7/1/1990,"$51,900 ",Residential - 1 Family Res,30 x 86,1925,"1,015",3/1/2000
"206 SOUTHSIDE, Buffalo",123.79-7-16,"$53,000 ",7/1/1990,"$46,000 ",Residential - 1 Family Res,33 x 130,1900,"1,795",3/1/2000
"224 GOODYEAR, Buffalo",101.71-6-11,"$27,500 ",7/1/1990,"$1,400 ",Vacant Land - Res vac land,30 x 97,,,
"511 DELAVAN EAST, Buffalo",89.84-2-5,"$48,000 ",7/1/1990,"$32,900 ",Commercial - Det row bldg,35 x 131,,,
"144 WESLEY, Buffalo",78.76-3-10,"$91,000 ",7/1/1990,"$159,200 ",Residential - 1 Family Res,40 x 100,1902,"2,323",4 / 1.5 / 1
"2067 SENECA, Buffalo",123.81-9-22,"$40,000 ",7/1/1990,"$52,600 ",Commercial - Det row bldg,35 x 110,,,
